,SMILES,Standard Value,pIC50
CHEMBL470785,C=CC[C@@]12CC[C@](O)(C#CC)C[C@H]1CCc1cc(O)ccc12,250,6.602059991
CHEMBL1378869,N=c1c(C(=O)NCc2ccc3c(c2)OCO3)cc2c(=O)n3ccccc3nc2n1Cc1cccnc1,5481.52,5.261098997
CHEMBL1469332,CSc1nc(O)c2c(n1)N=C1CCCC(O)=C1C2c1cccs1,11403.27,4.942970593
CHEMBL124482,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)c(Br)c2)cc1,111,6.954677021
CHEMBL124474,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(CCCN3CCCCC3)cc2)cc1,186,6.730487056
CHEMBL125119,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3CCNCC3)cc2)cc1,115,6.93930216
CHEMBL511492,Fc1ccc(C2=C(c3ccc(OCCN4CCCC4)cc3)c3ccc(F)cc3OCC2)cc1,262,6.581698709
CHEMBL511971,Oc1ccc(C2=C(c3ccc(OCCN4CCCCC4)cc3)c3ccc(F)cc3OCC2)cc1,8.78,8.056505484
CHEMBL1222036,O=C(O)/C=C/c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,104,6.982966661
CHEMBL121879,CN1CCCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,365,6.437707136
CHEMBL1087418,Oc1ccc2c(c1)O[C@@H](c1ccc(OCCN3CCCCCC3)cc1)C1=C2CCOc2ccccc21,41,7.387216143
CHEMBL1091535,CCC(=C(c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,6.8,8.167491087
CHEMBL366928,O=C(c1ccc(N2CCN(C3CCCC3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,18.15,7.741123371
CHEMBL3823498,CNCCCCCCCCCCCCn1c(-c2ccc(O)cc2)c(C)c2cc(O)ccc21,1660,5.779891912
CHEMBL194326,N#Cc1cc(-c2cc(F)c(O)cc2F)cc2ccc(O)cc12,6.9,8.161150909
CHEMBL3234612,Oc1ccc(C(=Nc2ccccc2)c2ccc(O)cc2)cc1,13,7.886056648
CHEMBL3234624,Oc1ccc(N=C(c2ccc(O)cc2)c2ccc(O)cc2)cc1,300,6.522878745
CHEMBL3234627,Cc1ccccc1/N=C(\c1ccc(O)cc1)c1ccc(O)cc1O,16,7.795880017
CHEMBL3234630,Oc1ccc(/C(=N\c2ccccc2Cl)c2ccc(O)cc2O)cc1,6,8.22184875
CHEMBL206349,O=c1c2c(O)cc(O)cc2[nH]c(=S)n1-c1ccc(O)cc1,6994,5.155274372
CHEMBL383253,C/C=C\[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,16,7.795880017
CHEMBL379441,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\Br)C1CC[C@@H]2O,212,6.673664139
CHEMBL206227,Cc1c(O)cc(C)c2c1oc(=O)c1cc(O)ccc12,27,7.568636236
CHEMBL381697,COc1c(C)c(Br)c2c(=O)oc3c(C)c(O)ccc3c2c1C,1.15,8.93930216
